date,season_type,neutral,team_1,team_2,points_1,points_2,moneyline_1,moneyline_2,game_url
06 Feb 2023,Regular,0,Philadelphia Flyers,New York Islanders,1,2,110.0,-126.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/philadelphia-flyers-new-york-islanders-lv03V3dD/
04 Feb 2023,All Stars,0,Central Division,Atlantic Division,5,7,,,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/central-division-atlantic-division-rgJqxLjk/
04 Feb 2023,All Stars,0,Atlantic Division,Metropolitan Division,10,6,,,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/atlantic-division-metropolitan-division-8KWuqSe7/
04 Feb 2023,All Stars,0,Pacific Division,Central Division,4,6,,,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/pacific-division-central-division-nBVqrnBD/
01 Feb 2023,Regular,0,Buffalo Sabres,Carolina Hurricanes,1,5,124.0,-141.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/buffalo-sabres-carolina-hurricanes-GQ1eXPR0/
01 Feb 2023,Regular,0,Toronto Maple Leafs,Boston Bruins,2,5,112.0,-130.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/toronto-maple-leafs-boston-bruins-2V3gVCFd/
31 Jan 2023,Regular,0,Carolina Hurricanes,Los Angeles Kings,5,4,-203.0,173.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/carolina-hurricanes-los-angeles-kings-Kb8nZocl/
31 Jan 2023,Regular,0,Columbus Blue Jackets,Washington Capitals,3,4,178.0,-210.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/columbus-blue-jackets-washington-capitals-2NciY5Cf/
31 Jan 2023,Regular,0,Montreal Canadiens,Ottawa Senators,4,5,171.0,-200.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/montreal-canadiens-ottawa-senators-lSakWh0j/
30 Jan 2023,Regular,0,Winnipeg Jets,St. Louis Blues,4,2,-225.0,192.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/winnipeg-jets-st-louis-blues-f50oXYpp/
29 Jan 2023,Regular,0,Carolina Hurricanes,Boston Bruins,4,1,-126.0,109.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/carolina-hurricanes-boston-bruins-MFjSup1c/
29 Jan 2023,Regular,0,Toronto Maple Leafs,Washington Capitals,5,1,-141.0,122.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/toronto-maple-leafs-washington-capitals-t89rzSsr/
28 Jan 2023,Regular,0,Anaheim Ducks,Arizona Coyotes,2,1,-112.0,-104.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/anaheim-ducks-arizona-coyotes-tKDuIt9j/
28 Jan 2023,Regular,0,Edmonton Oilers,Chicago Blackhawks,7,3,-421.0,338.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/edmonton-oilers-chicago-blackhawks-lGHGv8ZQ/
28 Jan 2023,Regular,0,Seattle Kraken,Columbus Blue Jackets,3,1,-255.0,214.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/seattle-kraken-columbus-blue-jackets-rPiOtQoi/
28 Jan 2023,Regular,0,Minnesota Wild,Buffalo Sabres,3,2,-173.0,152.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/minnesota-wild-buffalo-sabres-SG9yJMgp/
28 Jan 2023,Regular,0,New York Islanders,Vegas Golden Knights,2,1,102.0,-118.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/new-york-islanders-vegas-golden-knights-zLo8zkPH/
28 Jan 2023,Regular,0,Ottawa Senators,Montreal Canadiens,5,0,-237.0,201.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/ottawa-senators-montreal-canadiens-S0T7tU4E/
28 Jan 2023,Regular,0,Pittsburgh Penguins,San Jose Sharks,4,6,-244.0,206.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/pittsburgh-penguins-san-jose-sharks-U7G7xBf5/
28 Jan 2023,Regular,0,Tampa Bay Lightning,Los Angeles Kings,5,2,-223.0,189.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/tampa-bay-lightning-los-angeles-kings-dUn4yV9B/
28 Jan 2023,Regular,0,Winnipeg Jets,Philadelphia Flyers,0,4,-221.0,186.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/winnipeg-jets-philadelphia-flyers-APICulKK/
28 Jan 2023,Regular,0,Florida Panthers,Boston Bruins,4,3,135.0,-153.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/florida-panthers-boston-bruins-jHH3wiua/
28 Jan 2023,Regular,0,Colorado Avalanche,St. Louis Blues,4,2,-226.0,193.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/colorado-avalanche-st-louis-blues-dfIavXPh/
27 Jan 2023,Regular,0,Seattle Kraken,Calgary Flames,2,5,-115.0,-101.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/seattle-kraken-calgary-flames-2NyMIQC7/
27 Jan 2023,Regular,0,Vancouver Canucks,Columbus Blue Jackets,5,2,-183.0,159.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/vancouver-canucks-columbus-blue-jackets-GQP3sAk8/
27 Jan 2023,Regular,0,Dallas Stars,New Jersey Devils,2,3,-157.0,138.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/dallas-stars-new-jersey-devils-riEeuDAn/
27 Jan 2023,Regular,0,Carolina Hurricanes,San Jose Sharks,5,4,-272.0,226.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/carolina-hurricanes-san-jose-sharks-WCpwNVfI/
27 Jan 2023,Regular,0,Florida Panthers,Los Angeles Kings,3,4,-136.0,119.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/florida-panthers-los-angeles-kings-A3qsMkAO/
27 Jan 2023,Regular,0,New York Islanders,Detroit Red Wings,2,0,-184.0,160.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/new-york-islanders-detroit-red-wings-bJxPpZnP/
27 Jan 2023,Regular,0,New York Rangers,Vegas Golden Knights,4,1,-137.0,120.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/new-york-rangers-vegas-golden-knights-0SOjtget/
27 Jan 2023,Regular,0,Toronto Maple Leafs,Ottawa Senators,2,6,-205.0,176.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/toronto-maple-leafs-ottawa-senators-OWxIJ6c1/
26 Jan 2023,Regular,0,Arizona Coyotes,St. Louis Blues,5,0,134.0,-153.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/arizona-coyotes-st-louis-blues-rihQPXAa/
26 Jan 2023,Regular,0,Calgary Flames,Chicago Blackhawks,1,5,-396.0,322.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/calgary-flames-chicago-blackhawks-6erDKnre/
26 Jan 2023,Regular,0,Colorado Avalanche,Anaheim Ducks,3,5,-404.0,326.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/colorado-avalanche-anaheim-ducks-xEiUOiQ5/
26 Jan 2023,Regular,0,Minnesota Wild,Philadelphia Flyers,3,2,-231.0,195.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/minnesota-wild-philadelphia-flyers-lleYNBuC/
26 Jan 2023,Regular,0,Nashville Predators,New Jersey Devils,6,4,104.0,-120.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/nashville-predators-new-jersey-devils-40gMQDeg/
26 Jan 2023,Regular,0,Winnipeg Jets,Buffalo Sabres,2,3,-186.0,161.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/winnipeg-jets-buffalo-sabres-S4q9LSSl/
26 Jan 2023,Regular,0,Montreal Canadiens,Detroit Red Wings,3,4,135.0,-153.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/montreal-canadiens-detroit-red-wings-Ysp5M8Dr/
26 Jan 2023,Regular,0,Tampa Bay Lightning,Boston Bruins,3,2,-108.0,-107.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/tampa-bay-lightning-boston-bruins-8YaDSZQt/
26 Jan 2023,Regular,0,Washington Capitals,Pittsburgh Penguins,3,2,-126.0,109.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/washington-capitals-pittsburgh-penguins-nPbHRgtm/
25 Jan 2023,Regular,0,Seattle Kraken,Vancouver Canucks,6,1,-172.0,150.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/seattle-kraken-vancouver-canucks-dMhwRl5R/
25 Jan 2023,Regular,0,Edmonton Oilers,Columbus Blue Jackets,2,3,-389.0,315.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/edmonton-oilers-columbus-blue-jackets-Ec3YRUkL/
25 Jan 2023,Regular,0,Dallas Stars,Carolina Hurricanes,2,3,-103.0,-112.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/dallas-stars-carolina-hurricanes-jgDoXFIP/
25 Jan 2023,Regular,0,Ottawa Senators,New York Islanders,2,1,-130.0,112.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/ottawa-senators-new-york-islanders-tWkRTjL8/
25 Jan 2023,Regular,0,Toronto Maple Leafs,New York Rangers,3,2,-157.0,138.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/toronto-maple-leafs-new-york-rangers-z74USAzF/
24 Jan 2023,Regular,0,Vancouver Canucks,Chicago Blackhawks,5,2,-237.0,201.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/vancouver-canucks-chicago-blackhawks-2uiNUW52/
24 Jan 2023,Regular,0,Arizona Coyotes,Anaheim Ducks,2,5,-124.0,107.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/arizona-coyotes-anaheim-ducks-YHr1P3aJ/
24 Jan 2023,Regular,0,Colorado Avalanche,Washington Capitals,3,2,-130.0,112.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/colorado-avalanche-washington-capitals-xj9sYe3J/
24 Jan 2023,Regular,0,Nashville Predators,Winnipeg Jets,2,1,105.0,-120.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/nashville-predators-winnipeg-jets-0zDv6mT1/
24 Jan 2023,Regular,0,St. Louis Blues,Buffalo Sabres,3,5,-134.0,116.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/st-louis-blues-buffalo-sabres-fRqcQqpD/
24 Jan 2023,Regular,0,New Jersey Devils,Vegas Golden Knights,3,2,-172.0,151.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/new-jersey-devils-vegas-golden-knights-ILhxV7Vs/
24 Jan 2023,Regular,0,Montreal Canadiens,Boston Bruins,2,4,323.0,-400.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/montreal-canadiens-boston-bruins-nX8z7TDe/
24 Jan 2023,Regular,0,Philadelphia Flyers,Los Angeles Kings,3,4,114.0,-132.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/philadelphia-flyers-los-angeles-kings-CrhtURpl/
24 Jan 2023,Regular,0,Pittsburgh Penguins,Florida Panthers,7,6,-165.0,145.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/pittsburgh-penguins-florida-panthers-QodpTo0f/
24 Jan 2023,Regular,0,Detroit Red Wings,San Jose Sharks,3,2,-139.0,121.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/detroit-red-wings-san-jose-sharks-n1pgRPU6/
24 Jan 2023,Regular,0,Tampa Bay Lightning,Minnesota Wild,4,2,-162.0,141.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/tampa-bay-lightning-minnesota-wild-8AokS5F0/
23 Jan 2023,Regular,0,Calgary Flames,Columbus Blue Jackets,4,3,-348.0,286.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/calgary-flames-columbus-blue-jackets-hA9W79bk/
23 Jan 2023,Regular,0,Dallas Stars,Buffalo Sabres,2,3,-186.0,162.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/dallas-stars-buffalo-sabres-GC6AZmNQ/
23 Jan 2023,Regular,0,New York Rangers,Florida Panthers,6,2,-155.0,135.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/new-york-rangers-florida-panthers-byC5zU7K/
23 Jan 2023,Regular,0,Toronto Maple Leafs,New York Islanders,5,2,-227.0,192.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/toronto-maple-leafs-new-york-islanders-EJAS8kqq/
22 Jan 2023,Regular,0,Arizona Coyotes,Vegas Golden Knights,4,1,184.0,-216.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/arizona-coyotes-vegas-golden-knights-KpD1yAhE/
22 Jan 2023,Regular,0,Boston Bruins,San Jose Sharks,4,0,-385.0,314.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/boston-bruins-san-jose-sharks-8d6GD607/
22 Jan 2023,Regular,0,Chicago Blackhawks,Los Angeles Kings,1,2,195.0,-228.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/chicago-blackhawks-los-angeles-kings-6sPJCQFD/
22 Jan 2023,Regular,0,Philadelphia Flyers,Winnipeg Jets,3,5,139.0,-160.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/philadelphia-flyers-winnipeg-jets-b9ibQHEG/
22 Jan 2023,Regular,0,New Jersey Devils,Pittsburgh Penguins,2,1,-140.0,122.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/new-jersey-devils-pittsburgh-penguins-QXGBEno1/
21 Jan 2023,Regular,0,Seattle Kraken,Colorado Avalanche,1,2,-109.0,-107.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/seattle-kraken-colorado-avalanche-I7D3G8Gl/
21 Jan 2023,Regular,0,Vancouver Canucks,Edmonton Oilers,2,4,172.0,-206.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/vancouver-canucks-edmonton-oilers-KIhfRcaA/
21 Jan 2023,Regular,0,Vegas Golden Knights,Washington Capitals,6,2,-116.0,-100.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/vegas-golden-knights-washington-capitals-nsI7FSVf/
21 Jan 2023,Regular,0,Dallas Stars,Arizona Coyotes,4,0,-348.0,282.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/dallas-stars-arizona-coyotes-KWXSMAwL/
21 Jan 2023,Regular,0,Nashville Predators,Los Angeles Kings,5,3,-116.0,-101.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/nashville-predators-los-angeles-kings-YZyXLUhR/
21 Jan 2023,Regular,0,St. Louis Blues,Chicago Blackhawks,3,5,-261.0,217.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/st-louis-blues-chicago-blackhawks-vHEaHl1r/
21 Jan 2023,Regular,0,New York Islanders,Carolina Hurricanes,2,5,148.0,-171.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/new-york-islanders-carolina-hurricanes-Q9YONjOE/
21 Jan 2023,Regular,0,Columbus Blue Jackets,San Jose Sharks,5,3,115.0,-134.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/columbus-blue-jackets-san-jose-sharks-nRTq0mW7/
21 Jan 2023,Regular,0,Detroit Red Wings,Philadelphia Flyers,1,2,-137.0,118.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/detroit-red-wings-philadelphia-flyers-nJZKOW88/
21 Jan 2023,Regular,0,Montreal Canadiens,Toronto Maple Leafs,3,2,279.0,-343.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/montreal-canadiens-toronto-maple-leafs-ELknTJUc/
21 Jan 2023,Regular,0,Ottawa Senators,Winnipeg Jets,1,5,121.0,-140.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/ottawa-senators-winnipeg-jets-QegjSwp4/
21 Jan 2023,Regular,0,Florida Panthers,Minnesota Wild,5,3,-116.0,-101.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/florida-panthers-minnesota-wild-8zVu1TG1/
21 Jan 2023,Regular,0,Calgary Flames,Tampa Bay Lightning,6,3,-111.0,-104.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/calgary-flames-tampa-bay-lightning-Wd0sUaFi/
21 Jan 2023,Regular,0,Buffalo Sabres,Anaheim Ducks,6,3,-278.0,230.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/buffalo-sabres-anaheim-ducks-EDVy291e/
20 Jan 2023,Regular,0,Vancouver Canucks,Colorado Avalanche,1,4,124.0,-141.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/vancouver-canucks-colorado-avalanche-h61wVu0o/
20 Jan 2023,Regular,0,Pittsburgh Penguins,Ottawa Senators,4,1,-163.0,142.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/pittsburgh-penguins-ottawa-senators-4j8e6dNp/
19 Jan 2023,Regular,0,Los Angeles Kings,Dallas Stars,0,4,-138.0,121.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/los-angeles-kings-dallas-stars-0ARX2knk/
19 Jan 2023,Regular,0,Seattle Kraken,New Jersey Devils,4,3,114.0,-131.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/seattle-kraken-new-jersey-devils-tMEaLc2G/
19 Jan 2023,Regular,0,Vegas Golden Knights,Detroit Red Wings,2,3,-164.0,144.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/vegas-golden-knights-detroit-red-wings-IoxT3VWr/
19 Jan 2023,Regular,0,Arizona Coyotes,Washington Capitals,0,4,188.0,-222.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/arizona-coyotes-washington-capitals-CnAeMwmA/
19 Jan 2023,Regular,0,Edmonton Oilers,Tampa Bay Lightning,5,3,-121.0,105.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/edmonton-oilers-tampa-bay-lightning-2sMTAxFT/
19 Jan 2023,Regular,0,St. Louis Blues,Nashville Predators,5,2,105.0,-122.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/st-louis-blues-nashville-predators-YeBiNJX3/
19 Jan 2023,Regular,0,Buffalo Sabres,New York Islanders,3,2,-126.0,108.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/buffalo-sabres-new-york-islanders-69mU5I2T/
19 Jan 2023,Regular,0,Carolina Hurricanes,Minnesota Wild,5,2,-178.0,156.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/carolina-hurricanes-minnesota-wild-n3Vd1xBp/
19 Jan 2023,Regular,0,Columbus Blue Jackets,Anaheim Ducks,3,5,-165.0,144.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/columbus-blue-jackets-anaheim-ducks-QgU00dQj/
19 Jan 2023,Regular,0,Montreal Canadiens,Florida Panthers,2,6,199.0,-234.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/montreal-canadiens-florida-panthers-6FSKCbpH/
19 Jan 2023,Regular,0,New York Rangers,Boston Bruins,1,3,-108.0,-107.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/new-york-rangers-boston-bruins-vcIrPu3i/
19 Jan 2023,Regular,0,Philadelphia Flyers,Chicago Blackhawks,1,4,-230.0,195.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/philadelphia-flyers-chicago-blackhawks-jXLnOaIc/
19 Jan 2023,Regular,0,Toronto Maple Leafs,Winnipeg Jets,4,1,-164.0,144.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/toronto-maple-leafs-winnipeg-jets-KIWOBIaN/
18 Jan 2023,Regular,0,San Jose Sharks,Dallas Stars,5,3,134.0,-153.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/san-jose-sharks-dallas-stars-SIlQ6bmN/
18 Jan 2023,Regular,0,Vancouver Canucks,Tampa Bay Lightning,2,5,144.0,-165.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/vancouver-canucks-tampa-bay-lightning-ChTGDvVA/
18 Jan 2023,Regular,0,Calgary Flames,Colorado Avalanche,1,4,-145.0,126.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/calgary-flames-colorado-avalanche-Y1UCEKF4/
18 Jan 2023,Regular,0,New York Islanders,Boston Bruins,1,4,168.0,-195.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/new-york-islanders-boston-bruins-YekM7vYG/
18 Jan 2023,Regular,0,Ottawa Senators,Pittsburgh Penguins,5,4,-111.0,-104.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/ottawa-senators-pittsburgh-penguins-hjDFF00b/
17 Jan 2023,Regular,0,Arizona Coyotes,Detroit Red Wings,4,3,112.0,-130.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/arizona-coyotes-detroit-red-wings-KhoI8KIA/
17 Jan 2023,Regular,0,Edmonton Oilers,Seattle Kraken,5,2,-178.0,155.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/edmonton-oilers-seattle-kraken-EaEBGtoh/
17 Jan 2023,Regular,0,Chicago Blackhawks,Buffalo Sabres,4,3,168.0,-195.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/chicago-blackhawks-buffalo-sabres-xUeD9034/
17 Jan 2023,Regular,0,Nashville Predators,Columbus Blue Jackets,2,1,-210.0,180.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/nashville-predators-columbus-blue-jackets-8AqU1Dri/
17 Jan 2023,Regular,0,Montreal Canadiens,Winnipeg Jets,4,1,212.0,-250.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/montreal-canadiens-winnipeg-jets-6ZA3I2Gu/
17 Jan 2023,Regular,0,Philadelphia Flyers,Anaheim Ducks,5,2,-214.0,180.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/philadelphia-flyers-anaheim-ducks-42r6BMYi/
17 Jan 2023,Regular,0,Toronto Maple Leafs,Florida Panthers,5,4,-163.0,143.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/toronto-maple-leafs-florida-panthers-KxF7HMVo/
17 Jan 2023,Regular,0,Washington Capitals,Minnesota Wild,2,4,117.0,-135.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/washington-capitals-minnesota-wild-bwc9Atlb/
16 Jan 2023,Regular,0,Nashville Predators,Calgary Flames,2,1,118.0,-136.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/nashville-predators-calgary-flames-6kmqMK7O/
16 Jan 2023,Regular,0,St. Louis Blues,Ottawa Senators,2,1,-104.0,-112.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/st-louis-blues-ottawa-senators-ptnmLvNU/
16 Jan 2023,Regular,0,New York Islanders,Washington Capitals,3,4,-108.0,-107.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/new-york-islanders-washington-capitals-QBq2C2Jo/
16 Jan 2023,Regular,0,Columbus Blue Jackets,New York Rangers,1,3,149.0,-170.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/columbus-blue-jackets-new-york-rangers-noEihaYT/
16 Jan 2023,Regular,0,Pittsburgh Penguins,Anaheim Ducks,4,3,-333.0,273.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/pittsburgh-penguins-anaheim-ducks-O65JmJto/
16 Jan 2023,Regular,0,Vegas Golden Knights,Dallas Stars,0,4,-108.0,-106.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/vegas-golden-knights-dallas-stars-hOEmguJN/
16 Jan 2023,Regular,0,San Jose Sharks,New Jersey Devils,3,4,165.0,-193.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/san-jose-sharks-new-jersey-devils-ddLve1lB/
16 Jan 2023,Regular,0,Seattle Kraken,Tampa Bay Lightning,1,4,121.0,-138.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/seattle-kraken-tampa-bay-lightning-EXFqfL3H/
16 Jan 2023,Regular,0,Colorado Avalanche,Detroit Red Wings,6,3,-199.0,171.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/colorado-avalanche-detroit-red-wings-I5MzdsZ4/
16 Jan 2023,Regular,0,Boston Bruins,Philadelphia Flyers,6,0,-296.0,246.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/boston-bruins-philadelphia-flyers-C8JSc34h/
16 Jan 2023,Regular,0,Buffalo Sabres,Florida Panthers,1,4,107.0,-124.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/buffalo-sabres-florida-panthers-OrNWdNJb/
15 Jan 2023,Regular,0,Winnipeg Jets,Arizona Coyotes,2,1,-381.0,309.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/winnipeg-jets-arizona-coyotes-xGruN0hI/
15 Jan 2023,Regular,0,Carolina Hurricanes,Vancouver Canucks,3,4,-284.0,236.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/carolina-hurricanes-vancouver-canucks-G0fWOMN5/
15 Jan 2023,Regular,0,New York Rangers,Montreal Canadiens,1,2,-385.0,312.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/new-york-rangers-montreal-canadiens-bPqyOtwC/
14 Jan 2023,Regular,0,Los Angeles Kings,New Jersey Devils,2,5,-121.0,106.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/los-angeles-kings-new-jersey-devils-UqUNbqkn/
14 Jan 2023,Regular,0,Vegas Golden Knights,Edmonton Oilers,3,4,-132.0,114.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/vegas-golden-knights-edmonton-oilers-IFyTP28a/
14 Jan 2023,Regular,0,Chicago Blackhawks,Seattle Kraken,5,8,194.0,-231.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/chicago-blackhawks-seattle-kraken-42d1srKB/
14 Jan 2023,Regular,0,Minnesota Wild,Arizona Coyotes,2,1,-381.0,311.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/minnesota-wild-arizona-coyotes-I505t2ZH/
14 Jan 2023,Regular,0,Nashville Predators,Buffalo Sabres,3,5,-131.0,113.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/nashville-predators-buffalo-sabres-0UkAuMlO/
14 Jan 2023,Regular,0,St. Louis Blues,Tampa Bay Lightning,2,4,165.0,-189.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/st-louis-blues-tampa-bay-lightning-jgVJaPZu/
14 Jan 2023,Regular,0,Boston Bruins,Toronto Maple Leafs,4,3,-151.0,132.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/boston-bruins-toronto-maple-leafs-QHdlXpGP/
14 Jan 2023,Regular,0,Carolina Hurricanes,Pittsburgh Penguins,2,1,-216.0,183.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/carolina-hurricanes-pittsburgh-penguins-jwsdppzg/
14 Jan 2023,Regular,0,Colorado Avalanche,Ottawa Senators,7,0,-166.0,145.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/colorado-avalanche-ottawa-senators-SQrGS4Ot/
14 Jan 2023,Regular,0,Detroit Red Wings,Columbus Blue Jackets,3,4,-234.0,198.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/detroit-red-wings-columbus-blue-jackets-Wlbgq4ka/
14 Jan 2023,Regular,0,Florida Panthers,Vancouver Canucks,4,3,-214.0,182.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/florida-panthers-vancouver-canucks-p2wLROwm/
14 Jan 2023,Regular,0,New York Islanders,Montreal Canadiens,2,1,-236.0,197.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/new-york-islanders-montreal-canadiens-OhxPQrgg/
14 Jan 2023,Regular,0,Washington Capitals,Philadelphia Flyers,1,3,-208.0,178.0,https://www.oddsportal.com/hockey/usa/nhl-2022-2023/washington-capitals-philadelphia-flyers-AuccrO45/
