date,season,second_half,home_team,away_team,result,bookmaker_profit,ml_prob,elo_prob,game_url
2024-12-08,2025,1,lar,buf,1,0.04282359441911865,0.3775334481388264,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/los-angeles-rams-buffalo-bills-djlDhGRb/
2024-12-08,2025,1,sf,chi,1,0.03869130528987519,0.6021694430372203,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/san-francisco-49ers-chicago-bears-U3nLjfdB/
2024-12-08,2025,1,ari,sea,0,0.03557874762808355,0.6106275767292716,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/arizona-cardinals-seattle-seahawks-0Of4fxcn/
2024-12-08,2025,1,mia,nyj,1,0.045116174148432275,0.7194042736887545,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/miami-dolphins-new-york-jets-2Fm5PHcC/
2024-12-08,2025,1,min,atl,1,0.043209353554181096,0.6995045886461464,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/minnesota-vikings-atlanta-falcons-zs1CNeSO/
2024-12-08,2025,1,nyg,no,0,0.03824969400244793,0.3168287651046272,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/new-york-giants-new-orleans-saints-E7WMsaDt/
2024-12-08,2025,1,phi,car,1,0.035300574400289886,0.8701743189620121,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/philadelphia-eagles-carolina-panthers-nLUUuwrg/
2024-12-08,2025,1,pit,cle,1,0.03485093305452591,0.7106818112237088,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/pittsburgh-steelers-cleveland-browns-rmOwvHC5/
2024-12-08,2025,1,tb,oak,1,0.04214491264808329,0.7327132449117575,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/tampa-bay-buccaneers-las-vegas-raiders-lpRoxesI/
2024-12-08,2025,1,ten,jax,0,0.036990798538863334,0.6031569090828021,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/tennessee-titans-jacksonville-jaguars-AaFfzZBU/
2024-12-05,2025,1,det,gb,1,0.03885700621712096,0.6087006560018414,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/detroit-lions-green-bay-packers-t0adRwTa/
2024-12-02,2025,1,den,cle,1,0.03855169010609427,0.7134287580922967,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/denver-broncos-cleveland-browns-KWVEE0qf/
2024-12-01,2025,1,buf,sf,1,0.03976742910427289,0.7283182105929521,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/buffalo-bills-san-francisco-49ers-bHs6GMEs/
2024-12-01,2025,1,bal,phi,0,0.04058705110721483,0.5927983025461807,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/baltimore-ravens-philadelphia-eagles-hIFYYUU8/
2024-12-01,2025,1,car,tb,0,0.046298894438520755,0.27622827719373527,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/carolina-panthers-tampa-bay-buccaneers-tMCoDm8k/
2024-12-01,2025,1,no,lar,0,0.03892220865842222,0.42402465814076257,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/new-orleans-saints-los-angeles-rams-EZAgBRx2/
2024-12-01,2025,1,atl,lac,0,0.04076186970923823,0.4988948810892052,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/atlanta-falcons-los-angeles-chargers-hraP7hW9/
2024-12-01,2025,1,cin,pit,0,0.037878787878787845,0.5985401459854015,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/cincinnati-bengals-pittsburgh-steelers-lAhY5W0M/
2024-12-01,2025,1,jax,hou,0,0.03840245775729634,0.3821499013806706,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/jacksonville-jaguars-houston-texans-ptv40AOq/
2024-12-01,2025,1,min,ari,1,0.03909085832356074,0.6211103348202289,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/minnesota-vikings-arizona-cardinals-t8XCblgd/
2024-12-01,2025,1,ne,ind,0,0.0362552368675475,0.45094075571450787,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/new-england-patriots-indianapolis-colts-hdvbMio3/
2024-12-01,2025,1,nyj,sea,0,0.044599054500044755,0.5260865852617197,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/new-york-jets-seattle-seahawks-EBS6KVFF/
2024-12-01,2025,1,wsh,ten,1,0.04618542593226138,0.697514715500327,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/washington-commanders-tennessee-titans-MyWEI9pS/
2024-11-29,2025,1,kc,oak,1,0.03837927144909825,0.8598196135348446,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/kansas-city-chiefs-las-vegas-raiders-6R0H9E1c/
2024-11-28,2025,1,gb,mia,1,0.03909085832356074,0.6211103348202289,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/green-bay-packers-miami-dolphins-QVNUoB9j/
2024-11-28,2025,1,dal,nyg,1,0.039091343439169535,0.6635037411695858,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/dallas-cowboys-new-york-giants-fmXbiXoT/
2024-11-28,2025,1,det,chi,1,0.04166666666666674,0.7999999999999999,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/detroit-lions-chicago-bears-bLwjggHG/
2024-11-25,2025,1,lac,bal,0,0.033103813559322015,0.41015124327095615,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/los-angeles-chargers-baltimore-ravens-Q7ureFn4/
2024-11-24,2025,1,lar,phi,0,0.038799165817934966,0.4061814277043746,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/los-angeles-rams-philadelphia-eagles-W8nZdyIi/
2024-11-24,2025,1,gb,sf,1,0.02879114347276923,0.6894522081392409,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/green-bay-packers-san-francisco-49ers-KUIGvf2N/
2024-11-24,2025,1,sea,ari,1,0.03766077542333668,0.4866238630283574,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/seattle-seahawks-arizona-cardinals-42fmZXPp/
2024-11-24,2025,1,oak,den,0,0.04323308270676707,0.3153153153153153,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/las-vegas-raiders-denver-broncos-C4F8tGXA/
2024-11-24,2025,1,car,kc,0,0.043534946998469604,0.1666576131240154,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/carolina-panthers-kansas-city-chiefs-O6Hf4b8K/
2024-11-24,2025,1,chi,min,0,0.03584054216965615,0.40734158501486245,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/chicago-bears-minnesota-vikings-ribRbxWs/
2024-11-24,2025,1,hou,ten,0,0.03696682464454981,0.7714808043875686,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/houston-texans-tennessee-titans-ll1ZdG0f/
2024-11-24,2025,1,ind,det,0,0.04053288826632495,0.25491937100793405,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/indianapolis-colts-detroit-lions-A3krefV6/
2024-11-24,2025,1,mia,ne,1,0.03849032396022656,0.7580562133223516,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/miami-dolphins-new-england-patriots-IThjgYaJ/
2024-11-24,2025,1,nyg,tb,0,0.038983315141119634,0.3026664665566061,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/new-york-giants-tampa-bay-buccaneers-Ywn0pbYo/
2024-11-24,2025,1,wsh,dal,0,0.04052476873865296,0.8213655152358599,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/washington-commanders-dallas-cowboys-6ip8rx3b/
2024-11-21,2025,1,cle,pit,1,0.0400563216158476,0.3547920265160357,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/cleveland-browns-pittsburgh-steelers-WCU8teGD/
2024-11-18,2025,1,dal,hou,0,0.039831163426669036,0.2544165570865016,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/dallas-cowboys-houston-texans-zoy0rHo1/
2024-11-17,2025,1,lac,cin,1,0.0370370370370372,0.5178571428571428,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/los-angeles-chargers-cincinnati-bengals-4d1LkagR/
2024-11-17,2025,1,buf,kc,1,0.03567033476609183,0.5746439580499061,,https://www.oddsportal.com/american-football/usa/nfl-2024-2025/buffalo-bills-kansas-city-chiefs-dWcDiLOE/
